DOY;Year;Hour;Label
121;2021;6;74.53
121;2021;7;74.53
121;2021;8;74.53
121;2021;9;74.53
121;2021;10;74.53
121;2021;11;74.53
121;2021;12;74.53
121;2021;13;74.53
121;2021;14;74.53
121;2021;15;74.53
121;2021;16;74.53
121;2021;17;74.53
121;2021;18;74.53
121;2021;19;74.53
121;2021;20;74.53
121;2021;21;74.53
121;2021;22;74.53
121;2021;23;74.53
122;2021;0;74.53
122;2021;1;74.53
122;2021;2;74.53
122;2021;3;74.53
122;2021;4;74.53
122;2021;5;74.53
122;2021;6;74.53
122;2021;7;74.53
122;2021;8;74.53
122;2021;9;74.53
122;2021;10;74.53
122;2021;11;74.53
122;2021;12;74.53
122;2021;13;74.53
122;2021;14;74.53
122;2021;15;74.53
122;2021;16;74.53
122;2021;17;74.53
122;2021;18;74.53
122;2021;19;74.53
122;2021;20;74.53
122;2021;21;74.53
122;2021;22;74.53
122;2021;23;74.53
123;2021;0;74.53
123;2021;1;74.53
123;2021;2;74.53
123;2021;3;74.53
123;2021;4;74.53
123;2021;5;74.53
123;2021;6;74.53
123;2021;7;74.53
123;2021;8;74.53
123;2021;9;74.53
123;2021;10;74.53
123;2021;11;74.53
123;2021;12;74.53
123;2021;13;74.53
123;2021;14;74.53
123;2021;15;74.53
123;2021;16;74.53
123;2021;17;74.53
123;2021;18;74.53
123;2021;19;74.53
123;2021;20;74.53
123;2021;21;74.53
123;2021;22;74.53
123;2021;23;74.53
124;2021;0;74.53
124;2021;1;74.53
124;2021;2;74.53
124;2021;3;74.53
124;2021;4;74.53
124;2021;5;74.53
124;2021;6;74.53
124;2021;7;74.53
124;2021;8;74.53
124;2021;9;74.53
124;2021;10;74.53
124;2021;11;74.53
124;2021;12;74.53
124;2021;13;74.53
124;2021;14;74.53
124;2021;15;74.53
124;2021;16;74.53
124;2021;17;74.53
124;2021;18;74.53
124;2021;19;74.53
124;2021;20;74.53
124;2021;21;74.53
124;2021;22;74.53
124;2021;23;74.53
125;2021;0;74.53
125;2021;1;74.53
125;2021;2;74.53
125;2021;3;74.53
125;2021;4;74.53
125;2021;5;74.53
125;2021;6;74.53
125;2021;7;74.53
125;2021;8;74.53
125;2021;9;74.53
125;2021;10;74.53
125;2021;11;74.53
125;2021;12;74.53
125;2021;13;74.53
125;2021;14;74.53
125;2021;15;74.53
125;2021;16;74.53
125;2021;17;74.53
125;2021;18;74.53
125;2021;19;74.53
125;2021;20;74.53
125;2021;21;74.53
125;2021;22;74.53
125;2021;23;74.53
126;2021;0;74.53
126;2021;1;74.53
126;2021;2;74.53
126;2021;3;74.53
126;2021;4;74.53
126;2021;5;74.53
126;2021;6;74.53
126;2021;7;74.53
126;2021;8;74.53
126;2021;9;74.53
126;2021;10;74.53
126;2021;11;74.53
126;2021;12;74.53
126;2021;13;74.53
126;2021;14;74.53
126;2021;15;74.53
126;2021;16;74.53
126;2021;17;81
126;2021;18;93.915
126;2021;19;103.665
126;2021;20;120.12
126;2021;21;132.02
126;2021;22;141.83
126;2021;23;147.705
127;2021;0;151.93
127;2021;1;154.085
127;2021;2;154.7
127;2021;3;154.79
127;2021;4;155.36
127;2021;5;156.375
127;2021;6;156.46
127;2021;7;156.46
127;2021;8;156.46
127;2021;9;156.46
127;2021;10;156.46
127;2021;11;156.46
127;2021;12;156.46
127;2021;13;156.46
127;2021;14;156.46
127;2021;15;156.46
127;2021;16;156.46
127;2021;17;156.46
127;2021;18;156.46
127;2021;19;156.46
127;2021;20;156.46
127;2021;21;156.46
127;2021;22;156.46
127;2021;23;156.46
128;2021;0;156.46
128;2021;1;156.46
128;2021;2;156.46
128;2021;3;156.46
128;2021;4;156.46
128;2021;5;156.46
128;2021;6;156.46
128;2021;7;156.46
128;2021;8;156.46
128;2021;9;156.46
128;2021;10;156.46
128;2021;11;156.46
128;2021;12;156.46
128;2021;13;156.46
128;2021;14;156.46
128;2021;15;156.46
128;2021;16;156.46
128;2021;17;156.46
128;2021;18;156.46
128;2021;19;156.46
128;2021;20;156.46
128;2021;21;156.46
128;2021;22;156.46
128;2021;23;156.46
129;2021;0;156.46
129;2021;1;156.46
129;2021;2;156.46
129;2021;3;156.46
129;2021;4;156.46
129;2021;5;156.46
129;2021;6;156.46
129;2021;7;156.46
129;2021;8;156.46
129;2021;9;156.46
129;2021;10;156.46
129;2021;11;156.46
129;2021;12;156.46
129;2021;13;156.46
129;2021;14;156.46
129;2021;15;156.46
129;2021;16;156.46
129;2021;17;156.46
129;2021;18;156.46
129;2021;19;156.46
129;2021;20;156.46
129;2021;21;156.46
129;2021;22;156.46
129;2021;23;156.46
130;2021;0;156.46
130;2021;1;156.46
130;2021;2;156.46
130;2021;3;156.46
130;2021;4;156.46
130;2021;5;156.46
130;2021;6;156.46
130;2021;7;156.46
130;2021;8;156.46
130;2021;9;156.46
130;2021;10;156.46
130;2021;11;156.46
130;2021;12;156.46
130;2021;13;156.46
130;2021;14;156.46
130;2021;15;156.46
130;2021;16;156.46
130;2021;17;156.46
130;2021;18;156.46
130;2021;19;156.46
130;2021;20;158.795
130;2021;21;174.15
130;2021;22;185.655
130;2021;23;197.225
131;2021;0;205.48
131;2021;1;212.91
131;2021;2;220.065
131;2021;3;226.95
131;2021;4;232.14
131;2021;5;238.37
131;2021;6;241.8
131;2021;7;245.08
131;2021;8;248.685
131;2021;9;251.195
131;2021;10;253.195
131;2021;11;253.965
131;2021;12;255.22
131;2021;13;256.65
131;2021;14;258.655
131;2021;15;259.16
131;2021;16;259.16
131;2021;17;259.245
131;2021;18;262.285
131;2021;19;262.945
131;2021;20;264.46
131;2021;21;266.31
131;2021;22;267.235
131;2021;23;267.56
132;2021;0;268.395
132;2021;1;268.66
132;2021;2;269.23
132;2021;3;269.32
132;2021;4;269.5
132;2021;5;269.59
132;2021;6;269.59
132;2021;7;269.59
132;2021;8;269.59
132;2021;9;269.59
132;2021;10;269.59
132;2021;11;269.59
132;2021;12;269.59
132;2021;13;269.59
132;2021;14;269.59
132;2021;15;269.59
132;2021;16;269.59
132;2021;17;269.59
132;2021;18;269.59
132;2021;19;269.59
